m,m0,m1,null_%,dist,bonf_power,hoch_power,bh_power,bh_gain
4,0,4,0.0000,D,0.3996,0.4442,0.4805,1.2024
4,0,4,0.0000,E,0.6192,0.6869,0.7077,1.1429
4,0,4,0.0000,I,0.8476,0.9129,0.9156,1.0802
4,1,3,0.2500,D,0.5005,0.5333,0.5703,1.1395
4,1,3,0.2500,E,0.5005,0.5333,0.5703,1.1395
4,1,3,0.2500,I,0.7933,0.8405,0.8658,1.0914
4,2,2,0.5000,D,0.3085,0.3175,0.3357,1.0883
4,2,2,0.5000,E,0.9960,0.9978,0.9980,1.0020
4,2,2,0.5000,I,0.9430,0.9533,0.9625,1.0207
4,3,1,0.7500,D,0.9960,0.9960,0.9960,1.0000
4,3,1,0.7500,E,0.9960,0.9960,0.9960,1.0000
4,3,1,0.7500,I,0.9960,0.9960,0.9960,1.0000
8,0,8,0.0000,D,0.4622,0.5111,0.5919,1.2806
8,0,8,0.0000,E,0.5768,0.6438,0.7051,1.2223
8,0,8,0.0000,I,0.6926,0.7746,0.8129,1.1738
8,2,6,0.2500,D,0.4631,0.4925,0.5708,1.2327
8,2,6,0.2500,E,0.4367,0.4682,0.5540,1.2687
8,2,6,0.2500,I,0.6912,0.7291,0.7841,1.1344
8,4,4,0.5000,D,0.3454,0.3543,0.4134,1.1969
8,4,4,0.5000,E,0.5754,0.5925,0.6532,1.1353
8,4,4,0.5000,I,0.8066,0.8327,0.8860,1.0984
8,6,2,0.7500,D,0.2440,0.2460,0.2652,1.0871
8,6,2,0.7500,E,0.9860,0.9878,0.9938,1.0079
8,6,2,0.7500,I,0.9140,0.9190,0.9437,1.0325
16,0,16,0.0000,D,0.3862,0.4206,0.5632,1.4583
16,0,16,0.0000,E,0.5311,0.5850,0.7022,1.3221
16,0,16,0.0000,I,0.6780,0.7557,0.8269,1.2195
16,4,12,0.2500,D,0.3362,0.3548,0.4771,1.4191
16,4,12,0.2500,E,0.5300,0.5610,0.6773,1.2780
16,4,12,0.2500,I,0.7278,0.7713,0.8535,1.1728
16,8,8,0.5000,D,0.4134,0.4266,0.5208,1.2597
16,8,8,0.5000,E,0.5312,0.5474,0.6434,1.2111
16,8,8,0.5000,I,0.6503,0.6702,0.7641,1.1750
16,12,4,0.7500,D,0.2968,0.3001,0.3456,1.1647
16,12,4,0.7500,E,0.5324,0.5394,0.6009,1.1287
16,12,4,0.7500,I,0.7649,0.7751,0.8391,1.0971
32,0,32,0.0000,D,0.3191,0.3425,0.5323,1.6682
32,0,32,0.0000,E,0.4944,0.5396,0.7022,1.4203
32,0,32,0.0000,I,0.6691,0.7478,0.8550,1.2779
32,8,24,0.2500,D,0.3185,0.3338,0.4994,1.5679
32,8,24,0.2500,E,0.4923,0.5196,0.6800,1.3813
32,8,24,0.2500,I,0.6696,0.7120,0.8433,1.2594
32,16,16,0.5000,D,0.3465,0.3578,0.4944,1.4268
32,16,16,0.5000,E,0.4960,0.5125,0.6471,1.3046
32,16,16,0.5000,I,0.6400,0.6613,0.7875,1.2304
32,24,8,0.7500,D,0.3785,0.3836,0.4724,1.2480
32,24,8,0.7500,E,0.4967,0.5036,0.6023,1.2127
32,24,8,0.7500,I,0.6148,0.6248,0.7272,1.1828
64,0,64,0.0000,D,0.2850,0.3037,0.5362,1.8816
64,0,64,0.0000,E,0.4534,0.4907,0.7007,1.5454
64,0,64,0.0000,I,0.6208,0.6881,0.8490,1.3676
64,16,48,0.2500,D,0.2965,0.3097,0.5183,1.7480
64,16,48,0.2500,E,0.4534,0.4771,0.6766,1.4924
64,16,48,0.2500,I,0.6088,0.6469,0.8220,1.3502
64,32,32,0.5000,D,0.2789,0.2868,0.4559,1.6346
64,32,32,0.5000,E,0.4524,0.4658,0.6446,1.4248
64,32,32,0.5000,I,0.6272,0.6488,0.8154,1.3001
64,48,16,0.7500,D,0.3100,0.3135,0.4335,1.3983
64,48,16,0.7500,E,0.4536,0.4597,0.5913,1.3035
64,48,16,0.7500,I,0.5948,0.6033,0.7456,1.2534
