m,m0,m1,null_prop,distribution,L,alpha,n_reps,seed,power_bonf_mean,power_bonf_median,power_bonf_sd,power_bonf_min,power_bonf_max,power_bonf_q25,power_bonf_q75,fdr_bonf_mean,fdr_bonf_median,fdr_bonf_sd,fdr_bonf_max,power_hoch_mean,power_hoch_median,power_hoch_sd,power_hoch_min,power_hoch_max,power_hoch_q25,power_hoch_q75,fdr_hoch_mean,fdr_hoch_median,fdr_hoch_sd,fdr_hoch_max,power_bh_mean,power_bh_median,power_bh_sd,power_bh_min,power_bh_max,power_bh_q25,power_bh_q75,fdr_bh_mean,fdr_bh_median,fdr_bh_sd,fdr_bh_max,power_gain_hoch,power_gain_bh,power_diff_hoch,power_diff_bh,fdr_bh_bound,fdr_bh_controlled
4,0,4,0.000000,D,5,0.050000,20000,123456793,0.401087,0.500000,0.182895,0.000000,1.000000,0.250000,0.500000,0.000000,0.000000,0.000000,0.000000,0.447887,0.500000,0.220000,0.000000,1.000000,0.250000,0.500000,0.000000,0.000000,0.000000,0.000000,0.483650,0.500000,0.221094,0.000000,1.000000,0.250000,0.500000,0.000000,0.000000,0.000000,0.000000,1.116683,1.205847,0.046800,0.082563,0.000000,True
4,0,4,0.000000,E,5,0.050000,20000,123456793,0.623587,0.500000,0.166521,0.000000,1.000000,0.500000,0.750000,0.000000,0.000000,0.000000,0.000000,0.690438,0.750000,0.189207,0.000000,1.000000,0.500000,0.750000,0.000000,0.000000,0.000000,0.000000,0.711063,0.750000,0.176226,0.000000,1.000000,0.500000,0.750000,0.000000,0.000000,0.000000,0.000000,1.107202,1.140277,0.066850,0.087475,0.000000,True
4,0,4,0.000000,I,5,0.050000,20000,123456793,0.845650,0.750000,0.148727,0.250000,1.000000,0.750000,1.000000,0.000000,0.000000,0.000000,0.000000,0.912375,1.000000,0.132841,0.250000,1.000000,0.750000,1.000000,0.000000,0.000000,0.000000,0.000000,0.914613,1.000000,0.127768,0.250000,1.000000,0.750000,1.000000,0.000000,0.000000,0.000000,0.000000,1.078904,1.081550,0.066725,0.068963,0.000000,True
4,1,3,0.250000,D,5,0.050000,20000,123456793,0.500600,0.666667,0.220957,0.000000,1.000000,0.333333,0.666667,0.005892,0.000000,0.053151,1.000000,0.535417,0.666667,0.240326,0.000000,1.000000,0.333333,0.666667,0.009046,0.000000,0.058444,1.000000,0.573667,0.666667,0.245664,0.000000,1.000000,0.333333,0.666667,0.012571,0.000000,0.067283,1.000000,1.069550,1.145958,0.034817,0.073067,0.012500,True
4,1,3,0.250000,E,5,0.050000,20000,123456793,0.500600,0.666667,0.220957,0.000000,1.000000,0.333333,0.666667,0.005892,0.000000,0.053151,1.000000,0.535417,0.666667,0.240326,0.000000,1.000000,0.333333,0.666667,0.009046,0.000000,0.058444,1.000000,0.573667,0.666667,0.245664,0.000000,1.000000,0.333333,0.666667,0.012571,0.000000,0.067283,1.000000,1.069550,1.145958,0.034817,0.073067,0.012500,True
4,1,3,0.250000,I,5,0.050000,20000,123456793,0.797267,0.666667,0.196749,0.000000,1.000000,0.666667,1.000000,0.004054,0.000000,0.035157,0.500000,0.842817,1.000000,0.191018,0.000000,1.000000,0.666667,1.000000,0.011250,0.000000,0.054011,0.500000,0.870200,1.000000,0.179000,0.000000,1.000000,0.666667,1.000000,0.012717,0.000000,0.058203,0.500000,1.057133,1.091479,0.045550,0.072933,0.012500,True
4,2,2,0.500000,D,5,0.050000,20000,123456793,0.303750,0.500000,0.294212,0.000000,1.000000,0.000000,0.500000,0.018992,0.000000,0.122493,1.000000,0.313175,0.500000,0.305792,0.000000,1.000000,0.000000,0.500000,0.021308,0.000000,0.123413,1.000000,0.332375,0.500000,0.325099,0.000000,1.000000,0.000000,0.500000,0.026608,0.000000,0.128686,1.000000,1.031029,1.094239,0.009425,0.028625,0.025000,True
4,2,2,0.500000,E,5,0.050000,20000,123456793,0.994125,1.000000,0.053879,0.500000,1.000000,1.000000,1.000000,0.008892,0.000000,0.053981,0.500000,0.995650,1.000000,0.046434,0.500000,1.000000,1.000000,1.000000,0.017833,0.000000,0.076495,0.500000,0.997375,1.000000,0.036133,0.500000,1.000000,1.000000,1.000000,0.026117,0.000000,0.090821,0.500000,1.001534,1.003269,0.001525,0.003250,0.025000,True
4,2,2,0.500000,I,5,0.050000,20000,123456793,0.944900,1.000000,0.157683,0.000000,1.000000,1.000000,1.000000,0.009267,0.000000,0.056742,0.500000,0.955350,1.000000,0.143810,0.000000,1.000000,1.000000,1.000000,0.017692,0.000000,0.077277,0.500000,0.966525,1.000000,0.126162,0.000000,1.000000,1.000000,1.000000,0.026050,0.000000,0.091798,0.666667,1.011059,1.022886,0.010450,0.021625,0.025000,True
4,3,1,0.750000,D,5,0.050000,20000,123456793,0.994250,1.000000,0.075610,0.000000,1.000000,1.000000,1.000000,0.019042,0.000000,0.096321,1.000000,0.994300,1.000000,0.075283,0.000000,1.000000,1.000000,1.000000,0.024550,0.000000,0.109122,1.000000,0.994450,1.000000,0.074291,0.000000,1.000000,1.000000,1.000000,0.037533,0.000000,0.133350,0.750000,1.000050,1.000201,0.000050,0.000200,0.037500,True
4,3,1,0.750000,E,5,0.050000,20000,123456793,0.994250,1.000000,0.075610,0.000000,1.000000,1.000000,1.000000,0.019042,0.000000,0.096321,1.000000,0.994300,1.000000,0.075283,0.000000,1.000000,1.000000,1.000000,0.024550,0.000000,0.109122,1.000000,0.994450,1.000000,0.074291,0.000000,1.000000,1.000000,1.000000,0.037533,0.000000,0.133350,0.750000,1.000050,1.000201,0.000050,0.000200,0.037500,True
4,3,1,0.750000,I,5,0.050000,20000,123456793,0.994250,1.000000,0.075610,0.000000,1.000000,1.000000,1.000000,0.019042,0.000000,0.096321,1.000000,0.994300,1.000000,0.075283,0.000000,1.000000,1.000000,1.000000,0.024550,0.000000,0.109122,1.000000,0.994450,1.000000,0.074291,0.000000,1.000000,1.000000,1.000000,0.037533,0.000000,0.133350,0.750000,1.000050,1.000201,0.000050,0.000200,0.037500,True
8,0,8,0.000000,D,5,0.050000,20000,123456797,0.464319,0.500000,0.120867,0.000000,0.875000,0.375000,0.500000,0.000000,0.000000,0.000000,0.000000,0.514425,0.500000,0.145451,0.000000,1.000000,0.375000,0.625000,0.000000,0.000000,0.000000,0.000000,0.594281,0.625000,0.142146,0.000000,1.000000,0.500000,0.625000,0.000000,0.000000,0.000000,0.000000,1.107913,1.279899,0.050106,0.129962,0.000000,True
8,0,8,0.000000,E,5,0.050000,20000,123456797,0.578025,0.625000,0.118036,0.125000,1.000000,0.500000,0.625000,0.000000,0.000000,0.000000,0.000000,0.644794,0.625000,0.143002,0.125000,1.000000,0.500000,0.750000,0.000000,0.000000,0.000000,0.000000,0.706625,0.750000,0.126873,0.125000,1.000000,0.625000,0.750000,0.000000,0.000000,0.000000,0.000000,1.115512,1.222482,0.066769,0.128600,0.000000,True
8,0,8,0.000000,I,5,0.050000,20000,123456797,0.693250,0.750000,0.114556,0.250000,1.000000,0.625000,0.750000,0.000000,0.000000,0.000000,0.000000,0.775713,0.750000,0.131802,0.250000,1.000000,0.625000,0.875000,0.000000,0.000000,0.000000,0.000000,0.812600,0.875000,0.109943,0.250000,1.000000,0.750000,0.875000,0.000000,0.000000,0.000000,0.000000,1.118951,1.172160,0.082462,0.119350,0.000000,True
8,2,6,0.250000,D,5,0.050000,20000,123456797,0.466858,0.500000,0.144838,0.000000,1.000000,0.333333,0.500000,0.003616,0.000000,0.032908,1.000000,0.497567,0.500000,0.158700,0.000000,1.000000,0.333333,0.666667,0.005517,0.000000,0.037949,0.500000,0.577400,0.500000,0.168567,0.000000,1.000000,0.500000,0.666667,0.012791,0.000000,0.052937,0.500000,1.065777,1.236778,0.030708,0.110542,0.012500,True
8,2,6,0.250000,E,5,0.050000,20000,123456797,0.443042,0.500000,0.155890,0.000000,1.000000,0.333333,0.500000,0.003830,0.000000,0.035086,1.000000,0.475117,0.500000,0.170417,0.000000,1.000000,0.333333,0.666667,0.005611,0.000000,0.039279,0.500000,0.562475,0.500000,0.179477,0.000000,1.000000,0.500000,0.666667,0.012740,0.000000,0.053263,0.500000,1.072397,1.269576,0.032075,0.119433,0.012500,True
8,2,6,0.250000,I,5,0.050000,20000,123456797,0.691542,0.666667,0.127571,0.166667,1.000000,0.666667,0.833333,0.002545,0.000000,0.022459,0.333333,0.730708,0.666667,0.132067,0.166667,1.000000,0.666667,0.833333,0.005413,0.000000,0.031203,0.333333,0.786308,0.833333,0.122093,0.166667,1.000000,0.666667,0.833333,0.012490,0.000000,0.045927,0.400000,1.056637,1.137037,0.039167,0.094767,0.012500,True
8,4,4,0.500000,D,5,0.050000,20000,123456797,0.348938,0.250000,0.177435,0.000000,1.000000,0.250000,0.500000,0.012009,0.000000,0.079893,1.000000,0.359475,0.250000,0.185800,0.000000,1.000000,0.250000,0.500000,0.014205,0.000000,0.083268,1.000000,0.413425,0.500000,0.212614,0.000000,1.000000,0.250000,0.500000,0.026211,0.000000,0.100603,1.000000,1.030199,1.184811,0.010537,0.064487,0.025000,True
8,4,4,0.500000,E,5,0.050000,20000,123456797,0.579438,0.500000,0.168260,0.000000,1.000000,0.500000,0.750000,0.008091,0.000000,0.051796,1.000000,0.598200,0.500000,0.173585,0.000000,1.000000,0.500000,0.750000,0.011416,0.000000,0.059083,1.000000,0.659238,0.750000,0.179469,0.000000,1.000000,0.500000,0.750000,0.025617,0.000000,0.082141,0.500000,1.032381,1.137720,0.018762,0.079800,0.025000,True
