m,m0,null_%,dist,bonf_fdr,hoch_fdr,bh_fdr,bh_bound,controlled
4,0,0.00000,D,0.00000,0.00000,0.00000,0.00000,True
4,0,0.00000,E,0.00000,0.00000,0.00000,0.00000,True
4,0,0.00000,I,0.00000,0.00000,0.00000,0.00000,True
4,1,0.25000,D,0.00567,0.00962,0.01337,0.01250,True
4,1,0.25000,E,0.00567,0.00962,0.01337,0.01250,True
4,1,0.25000,I,0.00421,0.01167,0.01392,0.01250,False
4,2,0.50000,D,0.02158,0.02292,0.02942,0.02500,False
4,2,0.50000,E,0.01033,0.01942,0.02742,0.02500,True
4,2,0.50000,I,0.01100,0.01908,0.02775,0.02500,False
4,3,0.75000,D,0.01975,0.02575,0.03908,0.03750,True
4,3,0.75000,E,0.01975,0.02575,0.03908,0.03750,True
4,3,0.75000,I,0.01975,0.02575,0.03908,0.03750,True
8,0,0.00000,D,0.00000,0.00000,0.00000,0.00000,True
8,0,0.00000,E,0.00000,0.00000,0.00000,0.00000,True
8,0,0.00000,I,0.00000,0.00000,0.00000,0.00000,True
8,2,0.25000,D,0.00341,0.00541,0.01422,0.01250,False
8,2,0.25000,E,0.00362,0.00545,0.01413,0.01250,False
8,2,0.25000,I,0.00260,0.00542,0.01404,0.01250,False
8,4,0.50000,D,0.01054,0.01187,0.02410,0.02500,True
8,4,0.50000,E,0.00712,0.01063,0.02597,0.02500,True
8,4,0.50000,I,0.00555,0.00966,0.02612,0.02500,True
8,6,0.75000,D,0.02658,0.02750,0.03700,0.03750,True
8,6,0.75000,E,0.01217,0.01642,0.03713,0.03750,True
8,6,0.75000,I,0.01275,0.01633,0.03780,0.03750,True
16,0,0.00000,D,0.00000,0.00000,0.00000,0.00000,True
16,0,0.00000,E,0.00000,0.00000,0.00000,0.00000,True
16,0,0.00000,I,0.00000,0.00000,0.00000,0.00000,True
16,4,0.25000,D,0.00235,0.00321,0.01187,0.01250,True
16,4,0.25000,E,0.00158,0.00281,0.01237,0.01250,True
16,4,0.25000,I,0.00118,0.00289,0.01233,0.01250,True
16,8,0.50000,D,0.00532,0.00718,0.02438,0.02500,True
16,8,0.50000,E,0.00436,0.00638,0.02375,0.02500,True
16,8,0.50000,I,0.00355,0.00571,0.02392,0.02500,True
16,12,0.75000,D,0.01583,0.01617,0.03477,0.03750,True
16,12,0.75000,E,0.01029,0.01168,0.03576,0.03750,True
16,12,0.75000,I,0.00781,0.01015,0.03691,0.03750,True
32,0,0.00000,D,0.00000,0.00000,0.00000,0.00000,True
32,0,0.00000,E,0.00000,0.00000,0.00000,0.00000,True
32,0,0.00000,I,0.00000,0.00000,0.00000,0.00000,True
32,8,0.25000,D,0.00098,0.00126,0.01164,0.01250,True
32,8,0.25000,E,0.00063,0.00103,0.01197,0.01250,True
32,8,0.25000,I,0.00049,0.00120,0.01225,0.01250,True
32,16,0.50000,D,0.00314,0.00339,0.02293,0.02500,True
32,16,0.50000,E,0.00228,0.00276,0.02371,0.02500,True
32,16,0.50000,I,0.00180,0.00227,0.02385,0.02500,True
32,24,0.75000,D,0.00855,0.00860,0.03327,0.03750,True
32,24,0.75000,E,0.00704,0.00733,0.03380,0.03750,True
32,24,0.75000,I,0.00586,0.00622,0.03348,0.03750,True
64,0,0.00000,D,0.00000,0.00000,0.00000,0.00000,True
64,0,0.00000,E,0.00000,0.00000,0.00000,0.00000,True
64,0,0.00000,I,0.00000,0.00000,0.00000,0.00000,True
64,16,0.25000,D,0.00082,0.00095,0.01242,0.01250,True
64,16,0.25000,E,0.00053,0.00078,0.01252,0.01250,True
64,16,0.25000,I,0.00041,0.00073,0.01229,0.01250,True
64,32,0.50000,D,0.00271,0.00281,0.02526,0.02500,True
64,32,0.50000,E,0.00174,0.00193,0.02545,0.02500,True
64,32,0.50000,I,0.00127,0.00159,0.02574,0.02500,True
64,48,0.75000,D,0.00654,0.00655,0.03954,0.03750,True
64,48,0.75000,E,0.00463,0.00500,0.03949,0.03750,True
64,48,0.75000,I,0.00363,0.00397,0.03847,0.03750,True
